Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	DialID	Reality	Level
g	167	3:35:9	3:35:17	1	1	0	0	1	0	0	0	aemt01	9	2
f	168	3:36:34	3:36:39	2	2	0	0	1	0	0	0	aemt01	9	2
f	169	3:38:1	3:38:8	1	1	0	0	1	0	0	0	aemt01	9	2
g	170	3:40:7	3:40:11	5	5	0	0	1	0	0	0	aemt01	9	2
f	171	3:41:15	3:41:15	1	1	1	0	1	0	0	0	aemt01	9	2
f	172	3:41:17	3:41:19	3	3	1	0	1	0	0	0	aemt01	9	2
g	173	3:42:45	3:42:45	1	1	0	0	1	0	0	0	aemt01	9	2
g	174	3:43:16	3:43:22	9	9	0	1	1	0	0	0	aemt01	9	2
g	175	3:43:59	3:44:5	8	8	2	1	1	0	0	0	aemt01	9	2
g	176	3:47:9	3:47:14	1	1	0	0	1	0	0	0	aemt01	9	2
g	177	3:47:22	3:47:23	9	9	0	1	1	0	0	0	aemt01	9	2
f	178	3:48:40	3:48:44	1	1	0	0	1	0	0	0	aemt01	9	2
f	179	3:48:53	3:48:59	11	11	0	3	1	0	0	0	aemt01	9	2
g	180	3:53:6	3:53:13	1	1	0	0	1	0	0	0	aemt01	9	2
g	181	3:53:27	3:53:33	7	7	0	2	1	0	0	0	aemt01	9	2
f	182	3:55:42	3:55:42	1	1	0	0	1	0	0	0	aemt01	9	2
g	183	3:56:33	3:56:34	3	3	1	0	1	0	0	0	aemt01	9	2
g	184	3:58:8	3:58:14	3	3	1	0	1	0	0	0	aemt01	9	2
f	185	3:58:16	3:58:23	1	1	1	0	1	0	0	0	aemt01	9	2
f	186	3:59:10	3:59:10	1	1	0	0	1	0	0	0	aemt01	9	2
f	187	4:1:46	4:1:54	1	1	1	0	1	0	0	0	aemt01	9	2
g	188	4:1:58	4:2:4	3	3	0	0	1	0	0	0	aemt01	9	2
g	190	4:2:31	4:2:40	1	1	0	0	1	0	0	0	aemt01	9	2
f	189	4:2:34	4:2:39	1	1	0	0	1	1	6	6	aemt01	9	2
f	191	4:4:18	4:4:25	1	1	0	0	1	0	0	0	aemt01	9	2
g	192	4:5:7	4:5:10	1	1	1	0	1	0	0	0	aemt01	9	2
g	0	0:1:10	0:1:14	8	7	0	0	2	0	0	0	aemt01	9	2
f	1	0:2:13	0:2:14	1	0	0	0	2	0	0	0	aemt01	9	2
g	2	0:3:52	0:3:53	1	0	0	0	2	0	0	0	aemt01	9	2
f	3	0:5:47	0:5:54	3	2	0	0	2	0	0	0	aemt01	9	2
g	4	0:7:48	0:7:50	11	10	0	0	2	0	0	0	aemt01	9	2
g	5	0:8:24	0:8:31	13	12	0	0	2	0	0	0	aemt01	9	2
g	6	0:10:10	0:10:19	5	4	0	0	2	0	0	0	aemt01	9	2
f	7	0:14:48	0:14:51	10	9	0	0	2	0	0	0	aemt01	9	2
g	8	0:15:2	0:15:8	6	5	0	0	2	0	0	0	aemt01	9	2
f	9	0:15:30	0:15:30	7	6	1	0	2	0	0	0	aemt01	9	2
g	10	0:17:34	0:17:38	5	4	0	0	2	0	0	0	aemt01	9	2
f	11	0:19:21	0:19:26	2	1	0	0	2	0	0	0	aemt01	9	2
g	12	0:20:32	0:20:32	9	8	0	0	2	0	0	0	aemt01	9	2
f	13	0:21:0	0:21:1	15	14	1	3	2	0	0	0	aemt01	9	2
g	14	0:22:23	0:22:31	14	13	0	0	2	0	0	0	aemt01	9	2
g	15	0:23:37	0:23:37	1	0	0	0	2	0	0	0	aemt01	9	2
f	16	0:26:28	0:26:28	16	15	3	0	2	0	0	0	aemt01	9	2
g	17	0:27:44	0:27:52	1	0	0	0	2	0	0	0	aemt01	9	2
g	18	0:29:38	0:29:38	1	0	0	0	2	0	0	0	aemt01	9	2
g	19	0:29:51	0:29:55	15	14	0	2	2	0	0	0	aemt01	9	2
f	20	0:33:16	0:33:19	6	5	0	0	2	0	0	0	aemt01	9	2
g	21	0:34:0	0:34:3	7	6	0	0	2	0	0	0	aemt01	9	2
g	22	0:34:51	0:34:57	4	3	0	0	2	0	0	0	aemt01	9	2
f	23	0:39:40	0:39:40	1	0	0	0	2	0	0	0	aemt01	9	2
f	25	0:39:53	0:39:59	1	0	0	0	2	0	0	0	aemt01	9	2
g	24	0:39:58	0:39:58	2	1	0	0	2	1	1	1	aemt01	9	2
f	26	0:41:42	0:41:48	5	4	0	0	2	0	0	0	aemt01	9	2
g	27	0:41:50	0:41:53	4	3	0	0	2	0	0	0	aemt01	9	2
f	28	0:42:16	0:42:21	11	10	0	0	2	0	0	0	aemt01	9	2
f	29	0:42:32	0:42:36	5	4	0	0	2	0	0	0	aemt01	9	2
f	30	0:42:58	0:43:7	11	10	0	0	2	0	0	0	aemt01	9	2
g	31	0:43:14	0:43:19	1	0	0	0	2	0	0	0	aemt01	9	2
g	32	0:44:30	0:44:34	2	1	0	0	2	0	0	0	aemt01	9	2
f	33	0:45:25	0:45:30	7	6	0	0	2	0	0	0	aemt01	9	2
g	34	0:46:49	0:46:55	8	7	0	0	2	0	0	0	aemt01	9	2
g	35	0:49:32	0:49:38	7	6	0	0	2	0	0	0	aemt01	9	2
f	36	0:50:14	0:50:20	1	0	0	0	2	0	0	0	aemt01	9	2
f	37	0:50:48	0:50:52	1	0	0	0	2	0	0	0	aemt01	9	2
f	38	0:53:28	0:53:35	1	0	0	0	2	0	0	0	aemt01	9	2
f	39	0:53:53	0:53:57	1	0	0	0	2	0	0	0	aemt01	9	2
g	40	0:54:58	0:55:6	1	0	0	0	2	0	0	0	aemt01	9	2
g	41	0:57:53	0:57:56	10	9	0	0	2	0	0	0	aemt01	9	2
f	42	0:59:47	0:59:56	1	0	0	0	2	0	0	0	aemt01	9	2
g	43	1:0:39	1:0:45	4	3	0	0	2	0	0	0	aemt01	9	2
g	44	1:1:31	1:1:37	11	10	0	0	2	0	0	0	aemt01	9	2
f	45	1:4:39	1:4:43	1	0	0	0	2	0	0	0	aemt01	9	2
f	46	1:6:5	1:6:7	3	2	0	0	2	0	0	0	aemt01	9	2
f	47	1:7:25	1:7:34	1	0	0	0	2	0	0	0	aemt01	9	2
f	48	1:8:50	1:8:52	2	1	0	0	2	0	0	0	aemt01	9	2
g	49	1:10:1	1:10:9	4	3	1	0	2	0	0	0	aemt01	9	2
g	50	1:11:3	1:11:3	15	14	0	0	2	0	0	0	aemt01	9	2
g	51	1:19:6	1:19:9	1	0	0	0	2	0	0	0	aemt01	9	2
g	52	1:19:40	1:19:48	11	10	0	0	2	0	0	0	aemt01	9	2
f	53	1:22:17	1:22:18	1	0	0	0	2	0	0	0	aemt01	9	2
f	54	1:23:53	1:23:54	4	3	0	0	2	0	0	0	aemt01	9	2
f	55	1:25:18	1:25:22	1	0	0	0	2	0	0	0	aemt01	9	2
f	56	1:27:3	1:27:8	1	0	0	0	2	0	0	0	aemt01	9	2
f	57	1:27:55	1:27:59	7	6	0	0	2	0	0	0	aemt01	9	2
g	58	1:28:12	1:28:14	3	2	0	1	2	0	0	0	aemt01	9	2
g	59	1:30:27	1:30:32	6	5	0	0	2	0	0	0	aemt01	9	2
g	60	1:34:29	1:34:30	8	7	0	0	2	0	0	0	aemt01	9	2
g	61	1:34:42	1:34:49	2	1	0	0	2	0	0	0	aemt01	9	2
f	62	1:34:50	1:34:55	1	0	0	0	2	0	0	0	aemt01	9	2
f	63	1:35:19	1:35:28	1	0	0	0	2	0	0	0	aemt01	9	2
g	64	1:38:20	1:38:24	6	5	0	0	2	0	0	0	aemt01	9	2
g	65	1:38:37	1:38:44	2	1	0	0	2	0	0	0	aemt01	9	2
g	66	1:40:34	1:40:35	15	14	0	0	2	0	0	0	aemt01	9	2
g	67	1:40:47	1:40:50	10	9	3	0	2	0	0	0	aemt01	9	2
g	68	1:41:44	1:41:46	1	0	0	0	2	0	0	0	aemt01	9	2
f	69	1:42:44	1:42:46	6	5	0	0	2	0	0	0	aemt01	9	2
f	70	1:45:1	1:45:9	10	9	2	0	2	0	0	0	aemt01	9	2
f	71	1:47:9	1:47:15	7	6	0	0	2	0	0	0	aemt01	9	2
g	72	1:51:38	1:51:39	9	8	0	1	2	0	0	0	aemt01	9	2
g	73	1:53:6	1:53:8	1	0	0	0	2	0	0	0	aemt01	9	2
g	74	1:53:16	1:53:23	1	0	0	0	2	0	0	0	aemt01	9	2
f	75	1:55:10	1:55:15	5	4	0	0	2	0	0	0	aemt01	9	2
g	76	1:58:24	1:58:32	1	0	0	0	2	0	0	0	aemt01	9	2
