Global Index,Reality,EyeCon,Familiar,DevScore,OS,SS
121,1,false,false,11,0.13387180744461538,0.31523538058749995
122,1,false,false,54,0.23293654898290594,0.2756284648991736
123,1,true,false,25,0.21799832252258078,0.2310967931225806
124,1,true,false,47,0.25039409306666655,0.2299703835751592
125,1,false,false,43,0.2371554895660378,0.2671464327431192
126,1,false,false,19,0.22064747935561493,0.25136424851122996
127,2,false,true,78,0.23112451955717947,0.28216673965538475
0,2,false,true,204,0.16962453349999992,0.32613309845333327
1,2,true,true,40,0.20770834622849305,0.22337254771034484
2,2,true,true,53,0.21814334177986106,0.22769843293031353
3,2,false,true,35,0.20322239495274724,0.2970864228571429
4,2,false,true,34,0.21466633139763158,0.229590562523841
5,2,true,true,18,0.2514022988173076,0.32329436620000007
6,2,true,true,69,0.22557173597966407,0.23922057950970158
7,2,false,false,51,0.21518736670596034,0.22421697760784312
8,2,false,false,90,0.20517955804467158,0.2157097100103365
9,2,true,false,44,0.1962881559246074,0.2040933890544303
10,2,true,false,104,0.20892000367880303,0.21721121271965185
11,2,false,false,41,0.22034258541513393,0.24698194443348206
12,2,false,false,99,0.23821513366010647,0.23574277332085566
13,2,true,false,20,0.16795228153333344,0.25854149309573154
14,2,true,false,19,0.2213139411895168,0.22778527137599996
15,2,false,true,105,0.21517812566743297,0.2177905876238461
16,2,false,true,114,0.23893079720344845,0.21195509346857144
17,2,true,true,56,0.20595298104736842,0.2329882850984847
18,2,true,true,45,0.20623543008176767,0.2148266922280301
19,2,false,true,139,0.19598464607312238,0.20920489219166655
20,2,false,true,99,0.21958049674056596,0.24664465549620843
21,2,true,true,55,0.20310149096913582,0.25243779633540364
22,2,true,true,42,0.21508279569047617,0.24951313750898194
23,2,false,false,74,0.20345817137624325,0.18969303827790046
24,2,false,false,83,0.19159440653409085,0.23108205222988498
25,2,true,false,75,0.2037330109379562,0.24588809281277368
26,2,true,false,45,0.19058819689812387,0.23347609810930284
27,2,false,false,21,0.23400586112891558,0.21676929318023258
28,2,false,false,37,0.17283091762786068,0.25456253689499997
29,2,true,false,28,0.22138164475638106,0.2646582506826923
30,2,true,false,20,0.21705302130638293,0.21438400583504272
31,2,false,true,64,0.22827721442969426,0.25058203975
32,2,false,true,201,0.2105497010519825,0.21025649742290742
33,2,true,true,29,0.1678859807267442,0.2970182596643676
34,2,true,true,90,0.19982316664372227,0.2167451002497206
35,2,false,true,17,0.22485900891699345,0.2469233231421052
36,2,false,true,65,0.2262300540175439,0.22116007358761067
37,2,true,true,108,0.2065073838215191,0.22642943842307695
38,2,true,true,28,0.1910565014466513,0.22574441589925928
39,2,false,false,83,0.2005594333432836,0.2282493266757894
40,2,false,false,56,0.21769742016440669,0.21410364864915252
41,2,true,false,161,0.194460056549162,0.2786384318748066
42,2,true,false,108,0.1915540864636363,0.26014659419607855
43,2,false,false,178,0.1849427699695121,0.21485581398098166
44,2,false,false,52,0.21895421738524587,0.22922827303278692
45,2,true,false,52,0.19144541823298972,0.2757280871111113
46,2,true,false,145,0.18575933936632644,0.22721327603092792
47,2,false,true,157,0.20271005939644446,0.27482521214814803
48,2,false,true,56,0.24466828761884066,0.26652402685714277
49,2,true,true,104,0.18859214433301888,0.2320591521943129
50,2,true,true,35,0.19853580860146014,0.21129355820264314
51,2,false,true,34,0.1805861670697143,0.2506884870873563
52,2,false,true,26,0.20116828386703295,0.2095793232119338
53,2,true,true,48,0.20574816082315314,0.2249351461818183
54,2,true,true,53,0.17752340097191116,0.20924652368258925
55,2,false,false,25,0.24751215214790415,0.24610841451807222
56,2,false,false,112,0.20671394027799997,0.23042526098828123
57,2,true,false,54,0.186838099057229,0.21600612508378372
58,2,true,false,76,0.20559119349669724,0.209207686484066
59,2,false,false,40,0.20576383278936175,0.22104120710244074
60,2,false,false,62,0.21349357004787717,0.22075772595145884
61,2,true,false,47,0.22091857993866676,0.23618933474213324
62,2,true,false,49,0.2244771129060829,0.26932172134975624
63,2,true,true,135,0.20847829132280696,0.2066504173536266
64,2,true,true,227,0.21049723881597224,0.240343317084669
65,2,false,true,74,0.2092638325796875,0.26497122812656265
66,2,false,true,152,0.22031509861702137,0.25776860736111107
67,2,true,true,105,0.19729912664739888,0.24546495081802305
68,2,true,true,53,0.17478292680362323,0.1865913897857142
69,2,false,true,104,0.25275355466258076,0.24709930935822724
70,2,false,true,85,0.21208028112486302,0.31268409264705493
71,2,true,false,120,0.21058890459177218,0.257323949062112
72,2,true,false,97,0.2256071825464223,0.20387581692348913
73,2,false,false,105,0.21304372201541844,0.2412053548521931
74,2,false,false,142,0.21320137196330272,0.2920688436203705
75,2,true,false,66,0.22340637039655167,0.25931263586387543
76,2,true,false,89,0.2134604096425532,0.23567150897714295
77,2,false,false,28,0.2335600163224043,0.2560778675833334
78,2,false,false,58,0.22528731297115373,0.23197282090967725
79,2,true,true,140,0.2262651578409836,0.2740361034710743
80,2,true,true,191,0.1965521116088803,0.21027291568604656
81,2,false,true,28,0.18625856013063086,0.18862738510106078
82,2,false,true,154,0.23935107258786414,0.2186197838757282
83,2,true,true,20,0.24603547250340133,0.26141088581632654
84,2,true,true,89,0.20417375378238356,0.23470198554687502
85,2,false,true,57,0.2216741673565891,0.2447052592812501
86,2,false,true,37,0.215820583024,0.24886898153266665
87,2,true,false,204,0.18843173609259242,0.22021874439192543
88,2,true,false,117,0.2094084596556621,0.2472409003351353
