Global Index,Reality,OS,SS
67,1,0.4973744383824565,0.4658559363953487
68,1,0.48201433183687936,0.4456260716928571
69,1,0.5874784155519481,0.5464857334545454
70,1,0.5247987102777781,0.6303247565958903
71,1,0.5311761929185185,0.5457955657614905
72,1,0.5543624735307021,0.5620436393073592
73,1,0.5415731410698692,0.556815448114035
74,1,0.52614437815534,0.6154124781481483
75,1,0.5803384285172413,0.5941010107958478
76,1,0.5486917283455884,0.5528588412999998
77,1,0.5966348340962568,0.5720936575
78,1,0.6253939107947021,0.5712413428387094
79,1,0.5415747873934427,0.6086106217520659
80,1,0.5324150673682172,0.5144394624186042
81,1,0.5156537801135136,0.5193486841286685
82,1,0.5352293469758453,0.5420914930242723
